Time,Humidity,Temperature,Voltage,Current,Power
10,47.1,25.5,12.71,12.99,165.8536585
20,31.5,26.1,12.66,12.07,153.6585366
30,53.9,-8.9,12.62,12.01,153.6585366
40,58.5,-12.7,12.58,11.77,152.4390244
50,50.3,-14.6,12.54,11.71,150
60,68.8,-14.9,12.5,12.01,143.902439
70,51.8,-17.4,12.46,12.01,150
80,52,-18.2,12.43,11.59,150
90,51.9,-18.4,12.4,11.71,147.5609756
100,57.3,-18.2,12.37,11.71,143.902439
110,52.4,-18.9,12.35,11.71,146.3414634
120,61.9,-18.2,12.34,11.89,146.3414634
130,71,-15.6,12.33,11.89,146.3414634
140,80.1,-13.3,12.32,11.59,147.5609756
150,79.7,-11.1,12.32,11.89,143.902439
160,86.3,-8.9,12.32,12.07,146.3414634
170,95.1,-5.9,12.32,11.89,147.5609756
180,99.9,-1.1,12.33,11.59,146.3414634
190,64.7,-7.1,12.32,11.89,146.3414634
200,58,-11.3,12.31,11.71,141.4634146
210,54.7,-14.2,12.29,11.52,137.804878
220,54.8,-16,12.28,11.71,141.4634146
230,58.7,-16.7,12.26,11.59,141.4634146
240,56,-17.9,12.24,11.52,141.4634146
250,55.5,-18.8,12.23,11.59,143.902439
260,70.4,-17.7,12.22,11.71,143.902439
270,79.5,-15.2,12.22,11.59,141.4634146
280,84.6,-12.9,12.22,11.59,143.902439
290,89.8,-10.9,12.22,11.71,141.4634146
300,49,-13,12.22,11.52,141.4634146
310,51.4,-16.3,12.2,11.28,140.2439024
320,52.7,-18.1,12.2,11.59,141.4634146
330,72,-16.7,12.19,11.71,141.4634146
340,78.9,-14.2,12.19,11.89,141.4634146
350,85.5,-11.9,12.19,11.71,141.4634146
360,83.8,-10.1,12.2,11.59,141.4634146
370,47.8,-9.4,12.19,11.52,137.804878
380,48.1,-14.6,12.18,11.59,140.2439024
390,50.6,-17.1,12.17,11.59,137.804878
400,56.1,-18.5,12.17,11.52,140.2439024
410,71.5,-16.4,12.16,11.4,137.804878
420,79.1,-13.9,12.16,11.71,141.4634146
430,82.4,-11.8,12.17,11.59,141.4634146
440,81.2,-10.1,12.17,11.71,141.4634146
450,45.3,-12,12.17,11.59,143.902439
460,45.2,-12.1,12.17,11.4,141.4634146
470,48.2,-15.8,12.15,11.59,137.804878
480,50.5,-17.9,12.14,11.52,140.2439024
490,63.4,-17.6,12.14,11.52,140.2439024
500,71,-15.2,12.14,11.71,141.4634146
510,73.8,-13.2,12.14,11.52,140.2439024
520,76.1,-11.4,12.14,11.71,141.4634146
530,76.4,-9.9,12.14,11.71,143.902439
540,76.4,-8.6,12.14,11.52,140.2439024
550,45.3,-13.3,12.14,11.59,137.804878
560,48.5,-16.7,12.13,11.4,137.804878
570,51.6,-18.6,12.12,11.59,140.2439024
580,67.3,-16.7,12.11,11.89,140.2439024
590,71,-14.5,12.11,11.71,140.2439024
600,73.9,-12.8,12.11,11.4,140.2439024
610,76.4,-11.2,12.12,11.52,141.4634146
620,76.4,-9.7,12.12,11.89,140.2439024
630,76,-8.5,12.12,11.52,137.804878
640,44.7,-13,12.11,11.4,137.804878
650,47.9,-16.6,12.1,11.28,140.2439024
660,55.4,-18.5,12.09,11.22,137.804878
670,68.1,-16.5,12.09,11.4,135.3658537
680,71.1,-14.4,12.09,11.52,135.3658537
690,73.3,-12.7,12.09,11.52,140.2439024
700,75.3,-11.1,12.09,11.52,140.2439024
710,76.1,-9.8,12.09,11.71,140.2439024
720,75.4,-8.6,12.1,11.4,137.804878
730,43.4,-10.8,12.09,11.52,135.3658537
740,47,-15.6,12.08,11.4,135.3658537
750,49.3,-18.1,12.07,11.52,135.3658537
760,64.8,-17.3,12.06,11.4,141.4634146
770,71.5,-15.2,12.06,11.4,135.3658537
780,72.2,-13.4,12.06,11.59,135.3658537
790,74.2,-11.8,12.06,11.4,140.2439024
800,75.2,-10.4,12.06,11.52,140.2439024
810,75.2,-9.2,12.06,11.59,143.902439
820,74.7,-8.1,12.06,11.28,137.804878
830,44.2,-13.4,12.06,11.4,135.3658537
840,47.9,-17,12.04,11.28,131.7073171
850,58,-18.5,12.04,11.4,135.3658537
860,69.3,-16.5,12.03,11.52,137.804878
870,71.4,-14.5,12.03,11.52,137.804878
880,72.5,-12.9,12.03,11.52,137.804878
890,74.6,-11.4,12.03,11.52,137.804878
900,75.3,-10.1,12.03,11.52,137.804878
910,74.7,-8.9,12.03,11.52,141.4634146
920,48.1,-8.3,12.03,11.28,137.804878
930,45,-14.5,12.02,11.28,137.804878
940,48.1,-17.6,12.01,11.28,135.3658537
950,60.9,-18.2,12,11.28,135.3658537
960,70.4,-16,12,11.22,135.3658537
970,71.4,-14.2,12,11.4,135.3658537
980,73.1,-12.6,12,11.52,140.2439024
990,74.7,-11.2,12,11.4,135.3658537
1000,75.3,-9.9,12,11.4,135.3658537
1010,75.1,-8.8,12,11.52,137.804878
1020,49.4,-10,11.99,11.4,140.2439024
1030,49.3,-14.5,11.98,11.1,134.1463415
1040,50.4,-17.1,11.97,11.4,131.7073171
1050,55.8,-18.7,11.96,11.4,135.3658537
1060,54.8,-19.1,11.95,11.1,134.1463415
1070,56.8,-19.8,11.94,11.22,134.1463415
1080,71.5,-19.3,11.93,11.28,131.7073171
1090,55.8,-19.9,11.92,11.22,135.3658537
1100,63.1,-20.4,11.93,11.71,140.2439024
1110,96.2,-1.7,11.95,11.59,137.804878
1120,74.1,1.8,11.97,11.52,140.2439024
1130,74.9,1.8,11.98,11.52,137.804878
1140,58,-4.7,11.98,11.4,134.1463415
1150,52.7,-12.4,11.97,11.28,134.1463415
1160,53.7,-16.3,11.95,11.4,134.1463415
1170,55.2,-18.5,11.94,11.28,134.1463415
1180,75,-18,11.93,11.28,137.804878
1190,84.2,-15.3,11.92,11.4,134.1463415
1200,84.4,-12.9,11.92,11.4,134.1463415
1210,59.6,-11.2,11.92,11.1,135.3658537
1220,52.1,-16.3,11.91,11.28,131.7073171
1230,58.1,-18.4,11.89,11.22,134.1463415
1240,62.2,-19.8,11.88,11.4,135.3658537
1250,80.2,-17.6,11.88,11.1,131.7073171
1260,57.2,-17.3,11.87,10.79,135.3658537
1270,65.7,-18.6,11.86,10.98,131.7073171
1280,57.8,-19.7,11.85,10.98,131.7073171
1290,61,-20.4,11.84,11.22,131.7073171
1300,57.5,-21.1,11.84,11.1,131.7073171
1310,76.8,-19.5,11.83,11.22,134.1463415
1320,81.8,-17,11.83,11.1,134.1463415
1330,79.8,-14.9,11.83,11.22,131.7073171
1340,54.5,-15.1,11.82,11.22,129.2682927
1350,54.3,-18.5,11.82,10.98,129.2682927
1360,97.1,-17.9,11.81,10.98,134.1463415
1370,60.9,-17.4,11.81,10.98,129.2682927
1380,58.6,-18.6,11.8,11.22,131.7073171
1390,73.3,-18.7,11.8,11.1,131.7073171
1400,59.8,-17.8,11.8,11.1,129.2682927
1410,59.8,-17.8,11.79,11.1,129.2682927
