Time,Humidity,Temperature,Voltage,fan,heat
10/11 19:23,44.8,22.9,12.31,0,0
10/11 19:33,44.2,22.9,12.39,0,0
10/11 19:43,45.3,23.0,12.4,0,0
10/11 19:53,45.1,23.2,12.4,0,0
10/11 20:3,44.6,23.3,12.39,0,0
10/11 20:13,38.0,23.0,12.39,0,0
10/11 20:23,37.9,22.2,12.38,0,0
10/11 20:33,39.0,21.6,12.38,0,0
10/11 20:43,39.5,20.9,12.37,0,0
10/11 20:53,40.1,20.4,12.36,0,0
10/11 21:3,41.1,20.0,12.35,0,0
10/11 21:13,42.1,19.6,12.34,0,0
10/11 21:23,42.6,19.3,12.33,0,0
10/11 21:33,43.2,19.0,12.33,0,0
10/11 21:43,43.4,18.7,12.32,0,0
10/11 21:53,44.0,18.5,12.31,0,0
10/11 22:3,43.6,18.3,12.3,0,0
10/11 22:13,42.7,18.1,12.29,0,0
10/11 22:23,41.6,17.9,12.28,0,0
10/11 22:33,40.3,17.7,12.28,0,0
10/11 22:43,40.8,17.5,12.27,0,0
10/11 22:53,40.8,17.3,12.26,0,0
10/11 23:3,41.2,17.1,12.25,0,0
10/11 23:13,41.0,16.9,12.24,0,0
10/11 23:23,41.3,16.8,12.24,0,0
10/11 23:33,41.2,16.6,12.23,0,0
10/11 23:43,41.6,16.5,12.22,0,0
10/11 23:53,41.7,16.3,12.21,0,0
10/12 0:3,41.9,16.2,12.21,0,0
10/12 0:13,42.0,16.0,12.2,0,0
10/12 0:23,42.0,15.9,12.19,0,0
10/12 0:33,42.4,15.7,12.19,0,0
10/12 0:43,43.1,15.6,12.18,0,0
10/12 0:53,43.6,15.4,12.18,0,0
10/12 1:3,43.7,15.3,12.17,0,0
10/12 1:13,43.8,15.2,12.16,0,0
10/12 1:23,44.2,15.0,12.16,0,0
