Time,Humidity,Temperature,Voltage,Current,Power,fan,heat
10.0,35.1,24.9,12.61,12.8,163.41,0,0
20.0,35.7,24.7,12.62,0.0,0.0,0,0
30.0,39.3,24.9,12.61,0.0,0.0,0,0
40.0,44.4,27.3,12.6,0.0,0.0,0,0
50.0,46.8,30.3,12.58,0.0,0.0,0,0
60.0,50.1,32.8,12.57,0.0,0.0,0,0
70.0,60.8,32.5,12.56,0.0,0.0,1,0
80.0,60.8,32.4,12.56,0.0,0.0,1,0
90.0,62.4,32.9,12.55,0.0,0.0,1,0
100.0,61.3,33.7,12.54,0.0,0.0,1,0
110.0,60.2,34.5,12.54,0.0,0.0,1,0
120.0,59.0,35.2,12.54,0.0,0.0,1,0
130.0,57.8,35.7,12.53,0.0,0.0,1,0
140.0,55.8,36.6,12.52,0.0,0.0,1,0
150.0,55.7,36.5,12.52,0.0,0.0,1,0
160.0,55.0,37.0,12.51,0.0,0.0,1,0
170.0,53.4,37.6,12.5,0.0,0.0,1,0
180.0,53.4,37.5,12.5,0.0,0.0,1,0
190.0,53.0,37.9,12.49,0.0,0.0,1,0
200.0,52.4,38.1,12.48,0.0,0.0,1,0
210.0,52.1,38.3,12.47,0.0,0.0,1,0
220.0,51.6,38.5,12.46,0.0,0.0,1,0
230.0,50.4,39.2,12.46,0.0,0.0,1,0
240.0,49.6,39.5,12.45,0.0,0.0,1,0
250.0,49.5,39.6,12.45,0.0,0.0,1,0
260.0,48.8,39.8,12.44,0.0,0.0,1,0
270.0,48.6,39.9,12.43,0.0,0.0,1,0
280.0,48.5,39.8,12.42,0.0,0.0,1,0
290.0,48.2,40.1,12.42,0.0,0.0,1,0
300.0,47.8,40.2,12.41,0.0,0.0,1,0
310.0,47.7,40.4,12.4,0.0,0.0,1,0
320.0,47.7,40.3,12.4,0.0,0.0,1,0
330.0,47.4,40.5,12.39,0.0,0.0,1,0
340.0,47.2,40.6,12.39,0.0,0.0,1,0
350.0,47.0,40.7,12.38,0.0,0.0,1,0
360.0,46.7,40.8,12.38,0.0,0.0,1,0
370.0,46.6,40.9,12.37,0.0,0.0,1,0
380.0,46.4,41.1,12.37,0.0,0.0,1,0
390.0,46.3,41.0,12.36,0.0,0.0,1,0
400.0,46.1,41.2,12.35,0.0,0.0,1,0
410.0,46.1,41.2,12.34,0.0,0.0,1,0
420.0,45.6,41.4,12.34,0.0,0.0,1,0
430.0,45.6,41.3,12.33,0.0,0.0,1,0
440.0,45.6,41.4,12.33,0.0,0.0,1,0
450.0,45.5,41.6,12.32,0.0,0.0,1,0
460.0,45.3,41.6,12.32,0.0,0.0,1,0
470.0,45.1,41.7,12.32,0.0,0.0,1,0
480.0,45.1,41.7,12.3,0.0,0.0,1,0
490.0,45.0,41.7,12.3,0.0,0.0,1,0
500.0,44.7,41.7,12.29,0.0,0.0,1,0
510.0,44.6,41.8,12.28,0.0,0.0,1,0
520.0,44.8,41.9,12.28,0.0,0.0,1,0
530.0,44.7,41.9,12.28,0.0,0.0,1,0
540.0,44.6,42.0,12.27,0.0,0.0,1,0
550.0,44.3,42.0,12.27,0.0,0.0,1,0
560.0,44.2,42.1,12.26,0.0,0.0,1,0
570.0,44.2,42.1,12.25,0.0,0.0,1,0
580.0,44.0,42.1,12.24,0.0,0.0,1,0
590.0,43.9,42.1,12.24,0.0,0.0,1,0
600.0,44.0,42.2,12.24,0.0,0.0,1,0
610.0,43.9,42.2,12.23,0.0,0.0,1,0
620.0,43.9,42.2,12.23,0.0,0.0,1,0
630.0,43.8,42.2,12.22,0.0,0.0,1,0
640.0,43.8,42.2,12.22,0.0,0.0,1,0
650.0,43.8,42.3,12.21,0.0,0.0,1,0
660.0,43.6,42.3,12.21,0.0,0.0,1,0
670.0,43.5,42.3,12.2,0.0,0.0,1,0
680.0,43.4,42.3,12.2,0.0,0.0,1,0
690.0,43.6,42.3,12.18,0.0,0.0,1,0
700.0,43.4,42.3,12.18,0.0,0.0,1,0
710.0,43.4,42.3,12.18,0.0,0.0,1,0
720.0,43.4,42.3,12.17,0.0,0.0,1,0
730.0,43.2,42.2,12.17,0.0,0.0,1,0
740.0,43.2,42.3,12.16,0.0,0.0,1,0
750.0,43.2,42.3,12.16,0.0,0.0,1,0
760.0,43.1,42.3,12.15,0.0,0.0,1,0
770.0,43.0,42.3,12.15,0.0,0.0,1,0
780.0,43.1,42.3,12.14,0.0,0.0,1,0
790.0,42.9,42.3,12.13,0.0,0.0,1,0
800.0,43.0,42.3,12.13,0.0,0.0,1,0
810.0,42.9,42.3,12.12,0.0,0.0,1,0
820.0,42.8,42.3,12.12,0.0,0.0,1,0
830.0,42.8,42.2,12.11,0.0,0.0,1,0
840.0,42.8,42.2,12.11,0.0,0.0,1,0
850.0,42.7,42.2,12.1,0.0,0.0,1,0
860.0,42.7,42.3,12.1,0.0,0.0,1,0
870.0,42.5,42.2,12.09,0.0,0.0,1,0
880.0,42.4,42.3,12.08,0.0,0.0,1,0
890.0,42.1,42.2,12.08,0.0,0.0,1,0
900.0,42.1,42.2,12.08,0.0,0.0,1,0
910.0,42.0,42.2,12.07,0.0,0.0,1,0
920.0,41.7,42.2,12.06,0.0,0.0,1,0
930.0,41.5,42.2,12.06,0.0,0.0,1,0
940.0,41.4,42.2,12.05,0.0,0.0,1,0
950.0,41.2,42.2,12.04,0.0,0.0,1,0
960.0,41.0,42.2,12.04,0.0,0.0,1,0
970.0,40.9,42.2,12.04,0.0,0.0,1,0
980.0,40.8,42.2,12.03,0.0,0.0,1,0
990.0,40.8,42.2,12.02,0.0,0.0,1,0
1000.0,40.7,42.1,12.02,0.0,0.0,1,0
1010.0,40.6,42.1,12.02,0.0,0.0,1,0
1020.0,40.6,42.1,12.0,0.0,0.0,1,0
1030.0,40.6,42.1,12.0,0.0,0.0,1,0
1040.0,40.5,42.1,11.99,0.0,0.0,1,0
1050.0,40.6,42.1,11.99,0.0,0.0,1,0
1060.0,40.4,42.1,11.99,0.0,0.0,1,0
1070.0,39.0,42.1,11.98,0.0,0.0,1,0
1080.0,37.8,42.0,11.97,0.0,0.0,1,0
1090.0,37.7,41.8,11.97,0.0,0.0,1,0
1100.0,38.5,41.7,11.96,0.0,0.0,1,0
1110.0,38.7,41.6,11.96,0.0,0.0,1,0
1120.0,38.7,41.5,11.94,0.0,0.0,1,0
1130.0,38.5,41.5,11.94,0.0,0.0,1,0
1140.0,38.7,41.5,11.94,0.0,0.0,1,0
1150.0,38.7,41.6,11.94,0.0,0.0,1,0
1160.0,38.8,41.6,11.92,0.0,0.0,1,0
1170.0,38.3,41.7,11.92,0.0,0.0,1,0
1180.0,36.8,41.9,11.91,0.0,0.0,1,0
1190.0,35.7,42.0,11.91,0.0,0.0,1,0
1200.0,35.7,42.0,11.9,0.0,0.0,1,0
1210.0,34.6,42.1,11.9,0.0,0.0,1,0
1220.0,33.2,42.2,11.89,0.0,0.0,1,0
1230.0,31.6,42.3,11.88,0.0,0.0,1,0
1240.0,30.0,42.3,11.87,0.0,0.0,1,0
1250.0,28.8,42.4,11.87,0.0,0.0,1,0
1260.0,27.5,42.5,11.86,0.0,0.0,1,0
1270.0,26.5,42.6,11.86,0.0,0.0,1,0
1280.0,25.5,42.6,11.86,0.0,0.0,1,0
1290.0,24.6,42.7,11.84,0.0,0.0,1,0
1300.0,24.0,42.8,11.84,0.0,0.0,1,0
1310.0,23.4,42.8,11.83,0.0,0.0,1,0
1320.0,22.9,42.8,11.83,0.0,0.0,1,0
1330.0,22.5,42.8,11.82,0.0,0.0,1,0
1340.0,22.4,42.9,11.81,0.0,0.0,1,0
1350.0,22.2,43.0,11.8,0.0,0.0,1,0
1360.0,22.0,43.1,11.8,0.0,0.0,1,0
