time,bus_voltage
2019-09-17 13:02:32.229353,12.32
2019-09-17 13:07:32.331427,12.332
2019-09-17 13:12:32.433720,12.324
2019-09-17 13:17:32.518309,12.04
2019-09-17 13:22:32.620572,12.024
2019-09-17 13:27:32.722813,12.036
2019-09-17 13:32:32.825040,12.064
2019-09-17 13:37:32.927279,12.048
2019-09-17 13:42:33.029522,12.032
2019-09-17 13:47:33.131758,12.044
2019-09-17 13:52:33.233995,12.02
2019-09-17 13:57:33.318357,12.008
2019-09-17 14:02:33.420596,12.0
2019-09-17 14:07:33.522825,11.912
2019-09-17 14:12:33.625053,12.188
2019-09-17 14:17:33.727293,12.08
2019-09-17 14:22:33.829545,12.184
2019-09-17 14:27:33.931784,12.164
2019-09-17 14:32:33.958320,12.14
2019-09-17 14:37:34.060560,12.052
2019-09-17 14:42:34.162817,9.904
2019-09-17 14:47:34.265052,9.996
2019-09-17 14:52:34.278310,10.032
2019-09-17 14:57:34.380542,9.936
2019-09-17 15:02:34.482769,9.952
