bus_voltage,bus_current,power,shunt_voltage
12.152,1873.2926829268292,22787.80487804878,187.35
12.196,1621.280487804878,19776.829268292684,162.13
12.204,1515.9756097560974,18493.90243902439,151.58
12.192,1483.7804878048782,18086.585365853658,148.36
12.184,1427.378048780488,17395.121951219513,142.84
12.172,1385.7317073170732,16874.39024390244,138.6
12.16,1367.6219512195123,16640.243902439026,136.77
12.152,1349.8170731707316,16400.0,134.97
12.144,1338.841463414634,16250.0,133.91
12.124,1326.8902439024391,16104.878048780489,132.72
12.116,1323.9024390243903,16045.121951219513,132.4
12.108,1330.4268292682925,16118.292682926829,133.1
12.1,1306.5243902439026,15804.878048780487,130.67000000000002
12.088,1290.3048780487804,15598.78048780488,129.02
12.072,1285.2439024390244,15526.829268292684,128.57
12.06,1276.7073170731705,15409.756097560976,127.7
12.056,1264.939024390244,15245.121951219511,126.53
12.044,1261.5243902439024,15189.024390243903,126.18
12.028,1258.2317073170732,15141.463414634145,125.88000000000001
12.02,1257.1341463414633,15113.414634146342,125.79
12.004,1244.9390243902437,14950.0,124.53
11.988,1245.060975609756,14931.707317073171,124.46000000000001
11.984,1235.4268292682925,14807.31707317073,123.54
11.964,1232.9268292682927,14756.09756097561,123.35000000000001
11.956,1234.0243902439026,14757.317073170732,123.47
11.94,1232.7439024390244,14725.609756097561,123.24000000000001
11.928,1221.6463414634147,14580.487804878048,122.2
11.916,1222.439024390244,14574.390243902439,122.29
11.904,1222.7439024390244,14563.41463414634,122.33
11.888,1217.1341463414633,14469.51219512195,121.75
11.876,1211.9512195121952,14400.0,121.23
11.86,1209.6341463414635,14342.682926829268,120.99000000000001
11.852,1207.2560975609756,14314.634146341463,120.78
11.836,1208.5365853658536,14312.19512195122,120.89
11.824,1203.4146341463413,14221.951219512195,120.31
11.808,1201.0365853658536,14178.048780487805,120.15
11.796,1208.719512195122,14256.09756097561,120.93
11.78,1216.5243902439024,14336.585365853658,121.74000000000001
11.768,1201.9512195121952,14154.878048780487,120.25
11.756,1201.9512195121952,14130.487804878048,120.22
11.736,1200.9146341463415,14102.439024390244,120.17
11.724,1194.3292682926829,14002.439024390244,119.39
11.712,1190.5487804878048,13942.68292682927,119.08
11.692,1189.7560975609756,13912.19512195122,119.05
11.684,1188.4756097560976,13890.243902439024,118.95
11.672,1194.0243902439024,13932.926829268294,119.48
11.66,1186.4634146341464,13836.585365853658,118.69
11.64,1175.121951219512,13682.926829268294,117.51
11.632,1178.2317073170732,13708.536585365853,117.88
11.612,1169.6341463414635,13586.585365853658,117.02
11.596,1171.3414634146343,13580.487804878048,117.14
11.572,1172.2560975609756,13560.975609756097,117.24000000000001
11.56,1168.719512195122,13504.878048780487,116.92
11.536,1165.3658536585365,13445.121951219513,116.53
11.524,1163.780487804878,13401.21951219512,116.43
11.5,1155.5487804878048,13295.121951219511,115.58
11.48,1157.0731707317073,13289.024390243903,115.78
11.468,1160.548780487805,13298.780487804877,116.12
11.44,1159.7560975609756,13260.975609756098,115.98
11.42,1157.2560975609756,13219.51219512195,115.7
11.404,1151.6463414634145,13135.365853658535,115.21000000000001
11.38,1156.5243902439024,13160.975609756097,115.7
11.356,1147.6829268292684,13029.268292682927,114.78
11.332,1146.4634146341464,12993.90243902439,114.71000000000001
11.312,1144.5731707317073,12951.219512195123,114.48
11.284,1141.5853658536585,12885.365853658535,114.19
11.256,1140.670731707317,12847.560975609756,114.05
11.228,1140.731707317073,12806.09756097561,114.08
11.2,1137.378048780488,12746.341463414634,113.81
11.168,1133.841463414634,12665.853658536585,113.43
11.128,1134.0853658536585,12635.365853658535,113.49000000000001
11.104,1128.658536585366,12535.365853658537,112.97
11.056,1127.9878048780488,12481.707317073171,112.84
11.016,1124.1463414634145,12392.682926829268,112.52
10.964,1120.9756097560976,12286.58536585366,112.10000000000001
10.9,1123.9634146341464,12259.756097560976,112.47
10.832,1109.268292682927,12018.292682926829,110.95
10.748,1106.3414634146343,11900.0,110.66
10.62,1115.5487804878048,11856.09756097561,111.53
10.392,1100.3658536585365,11445.121951219513,110.10000000000001
9.716,1048.90243902439,10221.951219512195,104.97
8.664,970.1829268292684,8390.243902439024,97.09
